Destination Id,Landmarks,Landmark ID
1635366,City center,1635366
1635366,Parish Church of San Miguel Arcangel,1674573
1635366,La Gruta Spa,1797283
1635366,Escondido Place,1797280
1635366,El Jardin,1674571
1635366,Sanctuary of Atotonilco,1797291
1635366,Allende Institute,1797275
1635366,Temple of San Francisco,1797293
1635366,San Miguel de Allende Historical Museum,1797288
1635366,El Mirador Viewpoint,1797342
1635366,Juarez Park,1674572
1635366,Xote Aquatic Park,1797294
1635366,Temple of Immaculate Conception,1797292
1635366,Church of St. Michael the Archangel,10538248
1635366,Bellas Artes School,1674569
1635366,Las Monjas Temple,10538247
1635366,Artisan Market,10895006
1635366,Escuela de Bellas Artes,10554341
1635366,Iglesia de San Rafael,10534426
1635366,Santa Cruz del Chorro Chapel,10440603
851748,City center,851748
827548,City center,827548
859351,City center,859351
859351,El Fuerte Plaza,10461738
859351,Bosque Secreto,10534422
859351,Municipal Palace,10461715
859351,El Fuerte Museum,10534423
823872,City center,823872
823872,"Zacatecas, Zacatecas (ZCL-General Leobardo C. Ruiz Intl.)",1648353
823872,Bibayoff Vinos,10545714
11115106,No landmarks,No landmarks
855062,City center,855062
855062,Juarez Park,10462662
855062,National Puppet Museum,10540398
855062,Taurino Museum,10540397
841603,City center,841603
841603,Duendes Museum,10540408
841603,Las Truchas Forest,10521153
835041,City center,835041
835041,Casa y Arbol de Tizo,10543434
11115923,City center,11115923
11115923,María Sabina Museum,12910741
11115923,Velo de Novia Waterfall,12910312
828062,City center,828062
828062,Saucillo Arches Ecopark,10540385
1639987,City center,1639987
1639987,Holbox Beach,1811824
1639987,Punta Coco,10461963
1639987,Punta Mosquito Beach,10461894
1639987,Yalahau Lagoon,1757798
1639987,Passion Island,10452817
1639987,Main Square,10452891
1639987,Holbox Church,1757797
1639987,Holbox Baseball Park,1757796
863497,City center,863497
863497,Ixtapan Aquatic Park,1775449
863497,La Estrella Caves,1797457
854004,City center,854004
854004,Centro Cultural y Artesanal,10521419
854004,Kinich Kak Moo Ruins,10521421
854004,Hecho a Mano,10521420
854004,Itzamna Park,10441558
854004,Convent of San Antonio de Padua,12910816
833628,City center,833628
1697743,City center,1697743
1697743,Sierra Gorda Biosphere Reserve,11423293
1697743,Santiago de Jalpan Mission,1788887
1697743,Arqueological Zone of Tacama,10520957
844731,City center,844731
844731,Church of the Immaculate Conception,10545658
844731,Rafael Paez Park,10545656
844731,La Torre Building,10545657
844731,Ramon Lopez Velarde Museum,10540435
10391401,City center,10391401
829596,City center,829596
829596,Pedro Moreno Stadium,1776554
829596,Pan American Baseball Stadium,1771907
829596,"Lagos de Moreno, Jalisco (LOM-Fr. Primo de Verdad Y Ramos)",1648310
829596,Lagos de Moreno Fair,1771906
829596,Centro Universitario de los Lagos (CULAGOS),1776552
852921,City center,852921
852921,Juarez Square,1780349
852921,Linares Cathedral,1780348
852921,La Petaca Square,1780351
852921,Gustavo Diaz Ortiz Monument,1780350
862448,City center,862448
862448,Puerto Escondido Harbor,10454017
862448,"Loreto, Baja California Sur (LTO-Loreto Intl.)",1648312
862448,Danzante Bay Golf Course,11130502
862448,Ligui Beach,10456017
862448,Loreto Bay National Marine Park,1812284
862448,Our Lady of Loreto Mission,1771677
862448,Ensenada Blanca,1771593
862448,Las Flores Spa & Boutique,10521140
862448,Sea Kayak Baja Mexico,10521139
862448,Mission San Javier,10453612
862448,Museum of Missions,10534417
862448,Civic Square,1771681
862448,Municipal Palace,10542854
830646,City center,830646
830646,Magdalena de Kino City Hall,12525100
830646,Centro Religioso de Nuestra Señora de Maria Magdalena,12520128
825795,City center,825795
825795,Temple and Ex-Monastery of the Divine Savior,10442584
825795,Aztec Temples,10534349
825795,House of Eagles,1797458
825795,University Museum Dr. Luis Mario Schneider,1797461
825795,Augustinian Convent,10534348
825795,Artisan Gallery Malinalco,1797453
825795,Living Museum,1797459
825795,Templo Caucalli,10521265
861176,City center,861176
861176,Ojuela Bridge,10545654
861732,City center,861732
861732,Nuestra Senora de los Dolores Church,1776500
861732,Main Square,1776497
861732,La Preciosa Sangre Temple Ruins,1776501
861732,Corrinchis Dam Lookout,12489480
850275,City center,850275
850275,Mazamitla Plaza,1802552
850275,El Salto Waterfall,1802551
850275,Mazamitla Temple,1802553
1694947,City center,1694947
1694947,"Huatulco, Oaxaca (HUX-Bahias de Huatulco Intl.)",1648305
1694947,Cometa Point,1787240
1694947,Mazunte Beach,1787247
1694947,Centro Mexicano de la Tortuga,10554213
1694947,Rinconcito Beach,1787249
1694947,National Mexican Turtle Center,1787244
1694947,Turtle Camp and Museum,10538253
12472654,City center,12472654
852317,"Toluca, Estado de Mexico (TLC-Toluca Intl.)",1648343
852317,Galerias Metepec Shopping Center,1720954
852317,Las Americas Plaza,1720956
852317,Teatro Quimera,10977883
852317,Church of Calvary,10442589
852317,San Carlos Golf Club,1720961
852317,Plaza Juarez,10977882
852317,Tree of Life Artisanal Exhibition and Sale Center,10906478
852317,La Tlanchana,10977881
852317,San Juan Bautista Church,10442519
11115556,No landmarks,No landmarks
832906,City center,832906
861638,City center,861638
861638,Santa Brigida Mine,10543377
11116012,City center,11116012
11116012,El Chico National Park,1674543
11116012,Mirador Pena del Cuervo,10521151
1909709,City center,1909709
11114651,City center,11114651
834107,No landmarks,No landmarks
840808,City center,840808
840808,Iron Palace,10554347
